Symbol,Quantity,Buy date,Buy price,Buy value,Sell date,Sell price,Sell value,Realized P&L
NIFTY 05 May 23950 Call,390,04 May 2026,251.7,98163,04 May 2026,244.18,95230.2,-2931.5
NIFTY 05 May 24250 Put,1755,04 May 2026,191.17,335503.35,04 May 2026,181.77,319006.35,-16500.25
NIFTY 05 May 24250 Call,130,04 May 2026,62.65,8144.5,04 May 2026,68.3,8879,734.5
NIFTY 05 May 24100 Call,130,04 May 2026,145,18850,04 May 2026,150.75,19597.5,747.5
NIFTY 05 May 24100 Put,195,04 May 2026,110.38,21524.1,04 May 2026,101.63,19817.85,-1706.25
NIFTY 12 May 24500 Call,1105,07 May 2026,124.5,137572.5,07 May 2026,128.53,142025.65,4455.75
NIFTY 12 May 24250 Put,130,08 May 2026,153,19890,08 May 2026,159.35,20715.5,825.5
NIFTY 12 May 24500 Call,260,08 May 2026,65.72,17087.2,08 May 2026,66,17160,71.5
NIFTY 12 May 24200 Put,390,08 May 2026,147.47,57513.3,08 May 2026,151.34,59022.6,1508
NIFTY 19 May 23450 Call,845,13 May 2026,234.61,198245.45,13 May 2026,248.9,210320.5,12067.25
NIFTY 19 May 23350 Put,650,14 May 2026,124.15,80697.5,14 May 2026,135.91,88341.5,7644
NIFTY 19 May 23450 Call,260,14 May 2026,384.53,99977.8,14 May 2026,390.06,101415.6,1436.5
NIFTY 19 May 23800 Call,195,15 May 2026,174.5,34027.5,15 May 2026,181.3,35353.5,1326
NIFTY 19 May 23500 Call,195,18 May 2026,70.7,13786.5,18 May 2026,84.23,16424.85,2639
NIFTY 19 May 23550 Put,260,18 May 2026,111.95,29107,18 May 2026,123.2,32032,2925
NIFTY 19 May 23650 Call,2730,19 May 2026,78.05,213076.5,19 May 2026,79.35,216625.5,3539.25
NIFTY 19 May 23750 Call,1820,19 May 2026,17.14,31194.8,19 May 2026,22.65,41223,10026.25
NIFTY 26 May 23800 Put,2600,21 May 2026,243.18,632268,21 May 2026,238.15,619190,-13081.25
NIFTY 26 May 23650 Call,1365,21 May 2026,191.03,260755.95,21 May 2026,193.36,263936.4,3181.75
NIFTY 26 May 23700 Put,260,22 May 2026,117.35,30511,22 May 2026,149.88,38968.8,8459.75
NIFTY 26 May 23700 Call,195,22 May 2026,183.18,35720.1,22 May 2026,167.55,32672.25,-3048.5
NIFTY 26 May 23650 Put,260,22 May 2026,99.35,25831,22 May 2026,128.15,33319,7488
NIFTY 26 May 23750 Put,195,22 May 2026,127.86,24932.7,22 May 2026,129.4,25233,299
NIFTY 26 May 23650 Call,195,22 May 2026,213.05,41544.75,22 May 2026,195.25,38073.75,-3471
NIFTY 26 May 23800 Put,260,22 May 2026,149.85,38961,22 May 2026,152.38,39618.8,659.75
NIFTY 26 May 24050 Put,3445,25 May 2026,135.06,465281.7,25 May 2026,138.97,478751.65,13468
NIFTY 26 May 24050 Put,65,26 May 2026,89.15,5794.75,26 May 2026,106,6890,1095.25
NIFTY 02 Jun 23900 Put,65,29 May 2026,106.8,6942,27 May 2026,128.8,8372,1430
NIFTY 02 Jun 23950 Call,65,29 May 2026,70.17,4561.05,27 May 2026,156.35,10162.75,5601.7
NIFTY 02 Jun 23900 Call,65,29 May 2026,162.75,10578.75,27 May 2026,183.4,11921,1342.25
NIFTY 02 Jun 23950 Put,65,01 Jun 2026,381.55,24800.75,27 May 2026,151.65,9857.25,-14943.5
NIFTY 09 Jun 23950 Put,65,02 Jun 2026,403.85,26250.25,29 May 2026,227.35,14777.75,-11472.5
NIFTY 09 Jun 23850 Call,65,29 May 2026,260.89,16957.85,29 May 2026,279.55,18170.75,1212.25
NIFTY 02 Jun 23950 Call,260,29 May 2026,70.17,18244.2,29 May 2026,69.65,18109,-135.2
NIFTY 09 Jun 23400 Put,325,01 Jun 2026,187.14,60820.5,01 Jun 2026,193.95,63033.75,2213.25
NIFTY 09 Jun 23950 Put,130,02 Jun 2026,403.85,52500.5,01 Jun 2026,478.45,62198.5,9698
NIFTY 09 Jun 23500 Call,455,02 Jun 2026,236.57,107639.35,02 Jun 2026,234.23,106574.65,-1066
NIFTY 09 Jun 23150 Call,1365,03 Jun 2026,246.37,336295.05,03 Jun 2026,259.42,354108.3,17819.75
NIFTY 09 Jun 23350 Call,195,04 Jun 2026,230.3,44908.5,04 Jun 2026,248.6,48477,3568.5
NIFTY 09 Jun 23350 Put,260,05 Jun 2026,113.15,29419,05 Jun 2026,97.82,25433.2,-3984.5
NIFTY 09 Jun 23250 Put,585,05 Jun 2026,79.62,46577.7,05 Jun 2026,74.46,43559.1,-3016
NIFTY 09 Jun 23250 Call,130,08 Jun 2026,96.45,12538.5,08 Jun 2026,97.2,12636,97.5
NIFTY 09 Jun 23200 Call,260,08 Jun 2026,124.66,32411.6,08 Jun 2026,127.66,33191.6,780
NIFTY 09 Jun 23150 Put,65,09 Jun 2026,0.65,42.25,09 Jun 2026,28.55,1855.75,1813.5
NIFTY 09 Jun 23250 Call,260,09 Jun 2026,5.85,1521,09 Jun 2026,9.75,2535,1014
NIFTY 16 Jun 23250 Call,130,10 Jun 2026,251,32630,10 Jun 2026,247,32110,-520
NIFTY 16 Jun 23450 Put,130,10 Jun 2026,218.7,28431,10 Jun 2026,237,30810,2379
NIFTY 16 Jun 23500 Put,585,12 Jun 2026,167.96,98256.6,12 Jun 2026,192.25,112466.25,14205.75
NIFTY 16 Jun 23300 Call,390,12 Jun 2026,147.1,57369,12 Jun 2026,143.16,55832.4,-1534
NIFTY 16 Jun 23550 Put,455,12 Jun 2026,265.27,120697.85,12 Jun 2026,258.85,117776.75,-2918.5
NIFTY 23 Jun 24200 Call,130,15 Jun 2026,86.6,11258,15 Jun 2026,90.9,11817,559
NIFTY 16 Jun 23900 Call,455,15 Jun 2026,117.21,53330.55,15 Jun 2026,114.07,51901.85,-1430
NIFTY 16 Jun 23950 Put,130,15 Jun 2026,114.35,14865.5,15 Jun 2026,90.8,11804,-3061.5
NIFTY 16 Jun 23950 Put,1170,16 Jun 2026,29.19,34152.3,16 Jun 2026,39.6,46332,12181
NIFTY 23 Jun 24200 Put,520,17 Jun 2026,226.76,117915.2,17 Jun 2026,254.61,132397.2,14478.75
NIFTY 23 Jun 24200 Put,130,19 Jun 2026,252.8,32864,19 Jun 2026,265.1,34463,1599
NIFTY 23 Jun 24150 Put,910,22 Jun 2026,79.42,72272.2,22 Jun 2026,82.26,74856.6,2587
NIFTY 23 Jun 24100 Put,2145,22 Jun 2026,60,128700,22 Jun 2026,62.09,133183.05,4488.25
NIFTY 23 Jun 24050 Call,130,23 Jun 2026,81.3,10569,23 Jun 2026,84.97,11046.1,477.75
